ASIN,Name,Category,Price,Rating,Reviews,Availability,URL
B098QHFPVS,Kapiva Liver Care Juice,Chronic Care,655,,1694,In stock,https://www.amazon.in/dp/B098QHFPVS
B0BL3TN1QC,Shilajit Gold Resin,Men's Health,1249,,6805,In stock,https://www.amazon.in/dp/B0BL3TN1QC
B09TFQ9TLZ,Himalayan Shilajit,Men's Health,1648,,3236,In stock,https://www.amazon.in/dp/B09TFQ9TLZ
B0BPLVZRNZ,Shilajit Gold Caps,Men's Health,933,,3889,In stock,https://www.amazon.in/dp/B0BPLVZRNZ
B09BZNDYT2,Shilajit Resin 20g,Men's Health,839,,10189,In stock,https://www.amazon.in/dp/B09BZNDYT2
B07DRB3D5Z,Get Slim Juice 1L,Weight Management,479,,9786,In stock,https://www.amazon.in/dp/B07DRB3D5Z
B09MMH943Y,Get Slim Juice 2L,Weight Management,978,,1121,In stock,https://www.amazon.in/dp/B09MMH943Y
B07MDK6FQR,Plant Protein,Nutrition & Protein,1779,3.9,758,In stock,https://www.amazon.in/dp/B07MDK6FQR
B07GWPCCGX,A2 Gir Cow Ghee,Nutrition & Organics,699,4,1387,In stock,https://www.amazon.in/dp/B07GWPCCGX
B09N3B345J,Skin Glow Mix,Skin & Hair Care,888,3.7,2473,"In stock                 {""isInternal"":false,""showInsightsHub"":false,""isRobot"":false,""showFaceout"":true,""merchantId"":""A3DRET2ZTE1T2S"",""availableBadges"":"""",""loggedIn"":false,""asin"":""B09N3B345J"",""showBadge"":false,""ingressFaceout"":"""",""availableFaceouts"":""TK_BOUGHT""}",https://www.amazon.in/dp/B09N3B345J
B09PDYXR4H,Hair Care Juice,Skin & Hair Care,1452,3.9,199,In stock,https://www.amazon.in/dp/B09PDYXR4H
B07SZ43SWF,Aloe Vera Gel,Skin & Hair Care,349,4.2,6238,In stock,https://www.amazon.in/dp/B07SZ43SWF
